영업상태명,소재지전체주소,도로명전체주소,사업장명,최종수정시점,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),위생업태명,시도,지역구,주소_매장명
영업/정상,서울특별시 강남구 역삼동 817-6 연성흠근생,"서울특별시 강남구 테헤란로1길 32, 지상2층 1호 (역삼동)",라1품마라탕,44973.52729,44975.02851,중국식,202359.1762,444246.0735,중국식,서울특별시,강남구,테헤란로1길 32 라1품마라탕
영업/정상,서울특별시 강남구 청담동 46 베디베로스퀘어,"서울특별시 강남구 삼성로133길 7, 베디베로스퀘어 지상1층 (청담동)",주식회사 스파크펫,44998.54966,45000.02868,기타,204264.724,446357.6167,기타,서울특별시,강남구,삼성로133길 7 주식회사 스파크펫
영업/정상,서울특별시 강남구 역삼동 830-5,"서울특별시 강남구 역삼로3길 20-5, 지상1층 101호 (역삼동)",신복관 한우육개장 전문점,44998.45775,45000.02868,한식,202724.6715,443659.5981,한식,서울특별시,강남구,역삼로3길 20-5 신복관 한우육개장 전문점
영업/정상,서울특별시 강남구 대치동 316 은마아파트,"서울특별시 강남구 삼성로 212, 은마상가비블럭 지상1층 181(일부)호 (대치동, 은마아파트)",마마꼬마김밥&갈비김치찜,44998.39606,45000.02868,분식,205707.0894,443914.1941,분식,서울특별시,강남구,삼성로 212 마마꼬마김밥&갈비김치찜
영업/정상,서울특별시 강남구 신사동 658 로데오현대아파트,"서울특별시 강남구 압구정로50길 28, 로데오현대아파트상가 101동 지상1층 103호 (신사동, 로데오현대아파트)",노웨어(knowhere),45000.73542,45002.02887,기타,203221.941,447193.6445,기타,서울특별시,강남구,압구정로50길 28 노웨어(knowhere)
영업/정상,서울특별시 강남구 논현동 240-11,"서울특별시 강남구 학동로50길 6, 지상2층 (논현동)",듀얼라운지 강남구청,45000.71145,45002.02887,한식,203448.7682,446003.4591,한식,서울특별시,강남구,학동로50길 6 듀얼라운지 강남구청
영업/정상,서울특별시 강남구 신사동 628-20,"서울특별시 강남구 언주로153길 5, 지하1층 (신사동)",진주 가정식 뷔페,45149.62324,45151.11111,한식,202820.5599,446715.8887,한식,서울특별시,강남구,언주로153길 5 진주 가정식 뷔페
영업/정상,서울특별시 강남구 논현동 224-18 영일 빌딩,"서울특별시 강남구 봉은사로33길 37, 지상1층 101호 (논현동, 영일 빌딩)",청담간식,45180.63075,45182.11111,한식,203000.7128,445355.3403,한식,서울특별시,강남구,봉은사로33길 37 청담간식
영업/정상,서울특별시 강남구 삼성동 151-7 싹아트센터,"서울특별시 강남구 삼성로 534, 싹아트센터 지상1층 (삼성동)",천미미 삼성점,45048.58657,45050.11111,중국식,204849.9988,445280.5969,중국식,서울특별시,강남구,삼성로 534 천미미 삼성점
영업/정상,서울특별시 강남구 역삼동 819,"서울특별시 강남구 강남대로94길 10, 지하1층 B102호 (역삼동)",쥬바르,45000.67551,45002.02887,경양식,202423.7731,444111.0469,경양식,서울특별시,강남구,강남대로94길 10 쥬바르
영업/정상,서울특별시 강남구 역삼동 687-24,"서울특별시 강남구 언주로108길 18, 지상1층 101호 (역삼동)",에이유(Au) 강남점,45000.67138,45002.02887,기타,203536.5962,445112.5949,기타,서울특별시,강남구,언주로108길 18 에이유(Au) 강남점
영업/정상,서울특별시 강남구 삼성동 149-26,"서울특별시 강남구 삼성로104길 11, 2층 (삼성동)",끓임,45139.45161,45141.11111,경양식,204846.5017,445425.7242,경양식,서울특별시,강남구,삼성로104길 11 끓임
영업/정상,서울특별시 강남구 역삼동 719-24 역삼역센트럴푸르지오,"서울특별시 강남구 언주로85길 32, 역삼역센트럴푸르지오 지하1층 B103a호 CA06호 (역삼동)",마라왕&탕후루,45184.57319,45186.11111,중국식,203519.2709,444294.8425,중국식,서울특별시,강남구,언주로85길 32 마라왕&탕후루
영업/정상,서울특별시 강남구 역삼동 708-25,"서울특별시 강남구 선릉로89길 7, 지하1층 (역삼동)",오엠피(OMP),44995.64338,44997.02866,기타,204243.5,444581.82,기타,서울특별시,강남구,선릉로89길 7 오엠피(OMP)
영업/정상,서울특별시 강남구 청담동 119-8,"서울특별시 강남구 압구정로79길 8, 지상1층 101호 (청담동)",공부차 갤러리 티하우스,44995.61574,44997.02866,기타,204152.753,446969.5805,기타,서울특별시,강남구,압구정로79길 8 공부차 갤러리 티하우스
영업/정상,서울특별시 강남구 개포동 1237-11,"서울특별시 강남구 개포로20길 8, 지상1층 (개포동)",반도 샌드,44995.58063,44997.02866,한식,204094.8564,441774.0009,한식,서울특별시,강남구,개포로20길 8 반도 샌드
영업/정상,서울특별시 강남구 논현동 182-27,"서울특별시 강남구 강남대로118길 15, 지상1층 (논현동)",일월육일(강남신논현점),44995.52654,44997.02866,기타,202114.7079,444953.5466,기타,서울특별시,강남구,강남대로118길 15 일월육일(강남신논현점)
영업/정상,서울특별시 강남구 역삼동 836-68,"서울특별시 강남구 도곡로7길 7, 지하1층 B01호 (역삼동)",육연타,45072.70929,45074.11111,한식,202986.4345,443219.8342,한식,서울특별시,강남구,도곡로7길 7 육연타
영업/정상,서울특별시 강남구 신사동 507-3 GPX빌딩,"서울특별시 강남구 강남대로162길 18, GPX빌딩 지상1층 (신사동)",애시드 하우스(Acid House),45280.39333,45283.11111,경양식,201703.2832,446411.4502,경양식,서울특별시,강남구,강남대로162길 18 애시드 하우스(Acid House)
영업/정상,서울특별시 강남구 삼성동 142-3 LG 선릉에클라트 B,"서울특별시 강남구 테헤란로63길 12, B동 지상1층 103,104호 (삼성동, LG 선릉에클라트 B)",꺼벙이분식,44995.42255,44997.02866,분식,204433.3414,444884.6175,분식,서울특별시,강남구,테헤란로63길 12 꺼벙이분식
영업/정상,서울특별시 강남구 신사동 540-9,"서울특별시 강남구 도산대로15길 16, 지상2층 (신사동)",육구공,44995.39095,44997.02866,기타,202052.8211,446342.9795,기타,서울특별시,강남구,도산대로15길 16 육구공
영업/정상,서울특별시 강남구 신사동 524-25,"서울특별시 강남구 압구정로10길 30-11, 지상1층 (신사동)",꼬네,45009.63111,45011.02878,기타,201822.1263,446662.7744,기타,서울특별시,강남구,압구정로10길 30-11 꼬네
영업/정상,서울특별시 강남구 삼성동 159-7 현대백화점,"서울특별시 강남구 테헤란로 517, 현대백화점 10층 (삼성동)",봉계타 현대백화점 무역센터점,45009.61905,45011.02878,한식,205210.3588,445154.4223,한식,서울특별시,강남구,테헤란로 517 봉계타 현대백화점 무역센터점
영업/정상,서울특별시 강남구 논현동 124-15,"서울특별시 강남구 학동로12길 8, 지상1층 (논현동)",로스터스로스터리,45009.6002,45011.02878,기타,202167.729,445502.5445,기타,서울특별시,강남구,학동로12길 8 로스터스로스터리
영업/정상,서울특별시 강남구 논현동 108 논현웰스톤,"서울특별시 강남구 학동로43길 38, 지상1층 114호 (논현동, 논현웰스톤)",진수사,45147.70419,45149.11111,한식,203292.307,446247.5115,한식,서울특별시,강남구,학동로43길 38 진수사
영업/정상,서울특별시 강남구 논현동 220-17,"서울특별시 강남구 학동로30길 45, 지상1층 102호 (논현동)",떡볶이는 튀김빨&피자는 치즈빨,45001.65416,45003.02872,분식,202860.768,445447.7848,분식,서울특별시,강남구,학동로30길 45 떡볶이는 튀김빨&피자는 치즈빨
영업/정상,서울특별시 강남구 역삼동 719-24 역삼역센트럴푸르지오,"서울특별시 강남구 언주로85길 32, 역삼역센트럴푸르지오 지하1층 B102C호 CA07호 (역삼동)",일호참치,45001.62063,45003.02872,일식,203519.2709,444294.8425,일식,서울특별시,강남구,언주로85길 32 일호참치
영업/정상,서울특별시 강남구 논현동 97-3,"서울특별시 강남구 언주로150길 16, 지상1층 (논현동)",시올돈 논현점,45001.62396,45003.02872,한식,203082.8219,446546.8469,한식,서울특별시,강남구,언주로150길 16 시올돈 논현점
영업/정상,서울특별시 강남구 개포동 1237-4 거호빌딩,"서울특별시 강남구 논현로20길 14, 거호빌딩 지상1층 (개포동)",꼬치집,45001.55278,45003.02872,식육(숯불구이),204000.395,441772.145,식육(숯불구이),서울특별시,강남구,논현로20길 14 꼬치집
영업/정상,서울특별시 강남구 역삼동 722-6,"서울특별시 강남구 언주로81길 19, 지하1층 (역삼동)",청춘김치찌개,45001.44431,45003.02872,한식,203659.4261,444188.5261,한식,서울특별시,강남구,언주로81길 19 청춘김치찌개
영업/정상,서울특별시 강남구 역삼동 797-3 역삼빌딩,"서울특별시 강남구 논현로 333, 역삼빌딩 지상1층 1호 중 104호 (역삼동)",바다수퍼 해물천하 조개구이 찜 역삼점,45014.59867,45016.11111,한식,203413.0649,443641.82,한식,서울특별시,강남구,논현로 333 바다수퍼 해물천하 조개구이 찜 역삼점
영업/정상,서울특별시 강남구 신사동 648-6 휘오레,"서울특별시 강남구 도산대로49길 23, 휘오레 지하2층 (신사동)",블루폴라 압구정점,44980.66588,44982.02852,한식,203193.9335,446911.445,한식,서울특별시,강남구,도산대로49길 23 블루폴라 압구정점
영업/정상,서울특별시 강남구 신사동 648-6 휘오레,"서울특별시 강남구 도산대로49길 23, 휘오레 지하2층 (신사동)",우향우 압구정지점,44980.65557,44982.02852,한식,203193.9335,446911.445,한식,서울특별시,강남구,도산대로49길 23 우향우 압구정지점
영업/정상,서울특별시 강남구 역삼동 752-41,"서울특별시 강남구 역삼로 133, 지하1층 2-1호 (역삼동)",으뜸김치찜,45229.57155,45231.11111,한식,202954.7972,443586.4014,한식,서울특별시,강남구,역삼로 133 으뜸김치찜
영업/정상,서울특별시 강남구 논현동 198-10,"서울특별시 강남구 강남대로114길 20, 지하2층 2호 (논현동)",토리키치 신논현점,44980.63123,44982.02852,일식,202218.0028,444859.0426,일식,서울특별시,강남구,강남대로114길 20 토리키치 신논현점
영업/정상,서울특별시 강남구 역삼동 735-17 역삼 푸르지오 시티,"서울특별시 강남구 논현로85길 52, 역삼 푸르지오 시티 지상1층 103호 (역삼동)",슬로우캘리 역삼점,44980.58177,44982.02852,기타,202905.3032,443996.9848,기타,서울특별시,강남구,논현로85길 52 슬로우캘리 역삼점
영업/정상,서울특별시 강남구 대치동 896-7,"서울특별시 강남구 선릉로86길 26, 지상2층 201호 (대치동)",감성족발,44980.56727,44982.02852,한식,204515.6553,444590.2473,한식,서울특별시,강남구,선릉로86길 26 감성족발
영업/정상,서울특별시 강남구 대치동 890-60 H 타워,"서울특별시 강남구 테헤란로70길 12, H 타워 지하1층 (대치동)",프레시크레딧 선릉점,44978.6973,44980.0285,기타,204639.0901,444728.3537,기타,서울특별시,강남구,테헤란로70길 12 프레시크레딧 선릉점
영업/정상,서울특별시 강남구 논현동 81-14,"서울특별시 강남구 논현로136길 14, 지상1층 (논현동)",아쿠아,44978.61366,44980.0285,기타,202692.1976,445975.8077,기타,서울특별시,강남구,논현로136길 14 아쿠아
영업/정상,서울특별시 강남구 대치동 599 재경빌딩,"서울특별시 강남구 남부순환로 2947, 재경빌딩 지하1층 102호 (대치동)",이소룡마라탕,44978.51054,44980.0285,중국식,205464.7204,443592.9735,중국식,서울특별시,강남구,남부순환로 2947 이소룡마라탕
영업/정상,서울특별시 강남구 대치동 896-7,"서울특별시 강남구 선릉로86길 26, 지상2층 202호 (대치동)",나이스샤워 선릉역점,44978.41624,44980.0285,일식,204515.6553,444590.2473,일식,서울특별시,강남구,선릉로86길 26 나이스샤워 선릉역점
영업/정상,서울특별시 강남구 역삼동 719-24 역삼역센트럴푸르지오,"서울특별시 강남구 언주로85길 32, 역삼역센트럴푸르지오 지하1층 B113B호 CA21호 (역삼동)",파스타고,44967.57638,44969.02862,경양식,203519.2709,444294.8425,경양식,서울특별시,강남구,언주로85길 32 파스타고
영업/정상,서울특별시 강남구 일원동 743 디에이치 자이 개포,"서울특별시 강남구 영동대로 22, 830동 지하1층 S5B1-0503호 (일원동, 디에이치 자이 개포)",맛초화닭 디에이치자이개포점,45107.42447,45109.11111,호프/통닭,206573.6482,443195.1892,호프/통닭,서울특별시,강남구,영동대로 22 맛초화닭 디에이치자이개포점
영업/정상,서울특별시 강남구 논현동 201-2,"서울특별시 강남구 강남대로112길 12, 지상1층 (논현동)",다크그림(Dark grym),44967.39522,44969.02862,기타,202174.4555,444788.1959,기타,서울특별시,강남구,강남대로112길 12 다크그림(Dark grym)
영업/정상,서울특별시 강남구 일원동 677-1,"서울특별시 강남구 일원로3길 26, 지상1층 102호 (일원동)",옥희분식(강남 일원점),45050.60418,45053.11111,분식,207236.115,443281.985,분식,서울특별시,강남구,일원로3길 26 옥희분식(강남 일원점)
영업/정상,서울특별시 강남구 역삼동 661,"서울특별시 강남구 언주로103길 27, 지하1층 (역삼동)",파스타 파는 남자,45016.62345,45018.01421,경양식,203280.4504,444884.6953,경양식,서울특별시,강남구,언주로103길 27 파스타 파는 남자
영업/정상,서울특별시 강남구 압구정동 494 갤러리아백화점,"서울특별시 강남구 압구정로 343, 갤러리아백화점 지하1층 (압구정동)",영동백반,45016.62219,45018.01421,한식,203470.8484,447369.5799,한식,서울특별시,강남구,압구정로 343 영동백반
영업/정상,서울특별시 강남구 역삼동 677 서울철강빌딩,"서울특별시 강남구 테헤란로33길 18, 서울철강빌딩 지상1층 (역삼동)",밀회관 역삼점,45016.5815,45018.01421,경양식,203407.393,444533.7188,경양식,서울특별시,강남구,테헤란로33길 18 밀회관 역삼점
영업/정상,서울특별시 강남구 압구정동 494 갤러리아백화점,"서울특별시 강남구 압구정로 343, 갤러리아백화점 지하1층 (압구정동)",히노노리 갤러리아백화점점,45016.46087,45018.01421,일식,203470.8484,447369.5799,일식,서울특별시,강남구,압구정로 343 히노노리 갤러리아백화점점
영업/정상,서울특별시 강남구 신사동 663-24,"서울특별시 강남구 선릉로157길 12, 지하1층 (신사동)",무토,45302.63671,45304.11111,경양식,203379.5055,447099.4557,경양식,서울특별시,강남구,선릉로157길 12 무토
영업/정상,서울특별시 강남구 논현동 273-16,"서울특별시 강남구 언주로114길 17, 지상2층 2호 (논현동)",소잃고 고깃간,44965.67365,44967.02838,한식,203381.4369,445341.3687,한식,서울특별시,강남구,언주로114길 17 소잃고 고깃간
영업/정상,서울특별시 강남구 신사동 512-9 MG타워,"서울특별시 강남구 압구정로2길 60, MG타워 지상1층 103호 (신사동)",냉삼식당,44965.65439,44967.02838,한식,201812.6383,446191.7089,한식,서울특별시,강남구,압구정로2길 60 냉삼식당
영업/정상,서울특별시 강남구 논현동 22 논현아파트,"서울특별시 강남구 강남대로146길 28, 201동 지상1층 13호 (논현동, 논현아파트)",삼첩분식 논현점,44965.64571,44967.02838,분식,201934.4076,445832.3372,분식,서울특별시,강남구,강남대로146길 28 삼첩분식 논현점
영업/정상,서울특별시 강남구 수서동 799 강남 더샵 포레스트,"서울특별시 강남구 광평로34길 35, 지하1층 101호 (수서동, 강남 더샵 포레스트)",윤스카페(Yoon's Cafe),44965.57851,44967.02838,김밥(도시락),208339.2413,442126.3408,김밥(도시락),서울특별시,강남구,광평로34길 35 윤스카페(Yoon's Cafe)
