,level_0,영업상태명,소재지전체주소,도로명전체주소,사업장명,업태구분명,좌표정보(x),좌표정보(y),시도,지역구,상세주소,검색여부
36,59,영업/정상,서울특별시 강남구 신사동 591-14 신사동 빌딩,"서울특별시 강남구 논현로154길 5, 신사동 빌딩 지상5층 (신사동)",ETHOS 압구정,한식,202464.0605255,446620.889746803,서울특별시,강남구,"논현로154길5,",가능
37,60,영업/정상,서울특별시 강남구 삼성동 143-37 현대타워,"서울특별시 강남구 테헤란로 423, 지하1층 지105호 (삼성동, 현대타워)",가치있는 샐러드,기타,204615.364777705,444884.394551474,서울특별시,강남구,"테헤란로423,",가능
38,61,영업/정상,서울특별시 강남구 논현동 200-7 urbanhive,"서울특별시 강남구 강남대로 476, urbanhive 지하1,지상1층 (논현동)",팀 홀튼 신논현역점,기타,202121.293458771,444742.671288826,서울특별시,강남구,"강남대로476,",가능
39,62,영업/정상,서울특별시 강남구 도곡동 418 다명빌딩,"서울특별시 강남구 논현로38길 42, 지상1층 102호 (도곡동)",옥된장 도곡점,한식,203923.148457189,442601.169322369,서울특별시,강남구,"논현로38길42,",가능
40,63,영업/정상,서울특별시 강남구 도곡동 945-1,"서울특별시 강남구 강남대로58길 12, 지상2층 (도곡동)",토종돼지 삼겹살전문,한식,202855.586130424,443007.028459981,서울특별시,강남구,"강남대로58길12,",가능
41,64,영업/정상,서울특별시 강남구 역삼동 702-16,"서울특별시 강남구 테헤란로47길 8, 지상1층 (역삼동)",압구정육식당,한식,203950.125855442,444674.7981589,서울특별시,강남구,"테헤란로47길8,",가능
42,65,영업/정상,서울특별시 강남구 신사동 589-18 한서빌딩,"서울특별시 강남구 논현로152길 37, 한서빌딩 지상2층 (신사동)",마농 에 마농 마농와인,경양식,202681.8822233,446615.981003411,서울특별시,강남구,"논현로152길37,",가능
43,66,영업/정상,서울특별시 강남구 역삼동 858 강남역,"서울특별시 강남구 강남대로 지하 396, 강남역 지하1층 F-6호 (역삼동)",일월분식,분식,202422.251739571,443872.484453417,서울특별시,강남구,강남대로지하,가능
44,67,영업/정상,서울특별시 강남구 신사동 551-24,"서울특별시 강남구 논현로159길 46-5, 지상1층 (신사동)",그라도스,경양식,202078.772920067,446681.089044912,서울특별시,강남구,"논현로159길46-5,",가능
45,69,영업/정상,서울특별시 강남구 역삼동 761-18 강남프라자,"서울특별시 강남구 언주로 314, 강남프라자 지하1층 B110-2호 (역삼동)",일리있는,한식,204056.199691995,443750.88453048,서울특별시,강남구,"언주로314,",가능
46,71,영업/정상,서울특별시 강남구 역삼동 708-25,"서울특별시 강남구 선릉로89길 7, 지상6층 605호 (역삼동)",갸또올리비에,기타,204243.5,444581.82,서울특별시,강남구,"선릉로89길7,",가능
47,72,영업/정상,서울특별시 강남구 신사동 636,"서울특별시 강남구 언주로 868, 지상2층 (신사동)",더블유(W),기타,202929.20951415,447278.579953114,서울특별시,강남구,"언주로868,",가능
48,74,영업/정상,서울특별시 강남구 역삼동 619-30,"서울특별시 강남구 봉은사로18길 90, 지상3층 (역삼동)",라장양갈비·양꼬치 무한리필,중국식,202379.956845993,444295.924676649,서울특별시,강남구,"봉은사로18길90,",가능
49,75,영업/정상,서울특별시 강남구 역삼동 687-5,"서울특별시 강남구 언주로108길 12, 지상1층 102호 (역삼동)",경복,한식,203512.488810043,445117.880569142,서울특별시,강남구,"언주로108길12,",가능
50,76,영업/정상,서울특별시 강남구 역삼동 707-34 한신인터밸리24,"서울특별시 강남구 테헤란로 322, 한신인터밸리24 지하2층 B138호 (역삼동)",한신 김치찌개,한식,204044.789948927,444529.84042741,서울특별시,강남구,"테헤란로322,",가능
51,80,영업/정상,서울특별시 강남구 역삼동 725-9 역삼봉강빌딩,"서울특별시 강남구 논현로86길 20, 역삼봉강빌딩 지상2층 (역삼동)",치치 다이닝,일식,203389.317762054,444201.439278911,서울특별시,강남구,"논현로86길20,",가능
52,82,영업/정상,서울특별시 강남구 논현동 144-3,"서울특별시 강남구 학동로2길 31, 지하1층 (논현동)",쇼미비치,경양식,201982.38465952,445244.534430384,서울특별시,강남구,"학동로2길31,",가능
53,83,영업/정상,서울특별시 강남구 신사동 583-3 제이비 미소 빌딩,"서울특별시 강남구 논현로 841, 제이비 미소 빌딩 지상1층 116호 (신사동)",노슈가존,한식,202398.022535049,446869.307086395,서울특별시,강남구,"논현로841,",가능
54,84,영업/정상,서울특별시 강남구 신사동 663-21,"서울특별시 강남구 선릉로157길 14-8, 지하1층 (신사동)",도산포차,한식,203373.250410941,447141.729231718,서울특별시,강남구,"선릉로157길14-8,",가능
55,85,영업/정상,서울특별시 강남구 삼성동 148-12,"서울특별시 강남구 봉은사로84길 29, 지상1층 (삼성동)",도리토리 삼성직영점,일식,204913.399231437,445467.227064936,서울특별시,강남구,"봉은사로84길29,",가능
56,86,영업/정상,서울특별시 강남구 역삼동 766-15,"서울특별시 강남구 도곡로 317, 지상1층 101호 (역삼동)",아맘돈까스 한티역점,한식,204403.89,443748.085,서울특별시,강남구,"도곡로317,",가능
57,88,영업/정상,서울특별시 강남구 대치동 961 창진빌딩,"서울특별시 강남구 삼성로 352, 창진빌딩 지상1층 (대치동)",맘스피자 대치사거리점,기타,205156.917414948,444535.964228725,서울특별시,강남구,"삼성로352,",가능
58,89,영업/정상,서울특별시 강남구 신사동 656-2,"서울특별시 강남구 선릉로155길 25, 지하1층 (신사동)",플로우라운지(FLOW LOUNGE),일식,203244.739677162,447040.262357444,서울특별시,강남구,"선릉로155길25,",가능
